"","gene_names","protein","log2FC","pval","TICI_1","VEH_1","TICI_2","TICI_3","VEH_3","TICI_4","VEH_4","TICI_5","VEH_5","log2FoldChange","padj","significance","Significance","pbs_tpm","tici_tpm","TICI_abundance","VEH_abundance","log10_pbs_tpm","log10_tici_tpm"
"1","A2m","P06238",-0.556090593338013,0.0242571983511756,12.14574,12.49566,11.6497,12.23721,12.65754,11.4972,12.19165,12.14561,12.61988,1.01962778537348,8.69354880956632e-05,"Both","Both (discordant)(n = 8)",7.51953783333333,11.9957915,11.935092,12.4911825,0.876191148756382,1.07902890863914
"2","Adsl","P54822",-0.263724184036255,0.0447992320205671,14.21796,14.48312,13.88694,14.13563,14.29419,14.23047,14.3286,14.34983,14.60565,0.434889792908673,0.0257569911289889,"Both","Both (discordant)(n = 8)",60.2204318333333,65.3187341666667,14.164166,14.42789,1.77974386546039,1.81503775980991
"3","Dnah12","Q923J6",0.839952564239502,4.3563041833567e-05,14.69185,13.85545,14.40275,14.78913,13.84029,14.4847,13.64521,14.71762,13.76808,-5.61627137506668,0.00744319464274052,"Both","Both (discordant)(n = 8)",0.102324,0,14.61721,13.7772575,-0.990022490969075,-Inf
"4","Dvl3","Q61062",0.390941762924195,0.0421880076518405,10.99223,10.66613,10.84761,11.07655,10.9297,11.17411,10.29829,11.33812,10.88501,-0.345818302323576,0.0285715984529554,"Both","Both (discordant)(n = 8)",124.322537833333,83.5553586666667,11.085724,10.6947825,2.09454986693112,1.92197430778699
"5","Lgals3","P08699",-0.40975914001465,0.0398642037838439,18.47394,18.72244,17.94432,18.63945,19.00295,18.20996,18.56852,18.52726,18.78107,1.44404569646022,0.00600291662619285,"Both","Both (discordant)(n = 8)",272.611583,733.351302,18.358986,18.768745,2.4355443046392,2.86531206737142
"6","Pdlim4","P36202",-0.422035503387452,0.0162276119127995,17.08815,17.30964,16.60739,17.08358,17.39883,16.83442,17.30733,17.22666,17.5445,0.353441174582535,0.0441539008395839,"Both","Both (discordant)(n = 8)",992.768968666667,1134.83095616667,16.96804,17.390075,2.99684819380549,3.05493117406512
"7","Psmb6","P28073",-0.296076822280885,0.0344916129392323,15.442,15.7397,15.47766,15.5938,15.91803,15.55144,15.83282,15.91024,16.07387,0.612145729399911,3.12915340879717e-05,"Both","Both (discordant)(n = 8)",450.388904166667,572.486463,15.595028,15.891105,2.6535876826458,2.75776522181732
"8","Sord","P27867",0.668814897537231,5.16416067756246e-05,14.03832,13.32446,14.03969,14.28555,13.50333,14.03394,13.39071,14.19075,13.57684,-0.912485711371063,2.96632007117506e-06,"Both","Both (discordant)(n = 8)",47.0435431666667,22.2903453333333,14.11765,13.448835,1.67250002394781,1.3481167968427
