"","gene_names","protein","log2FC","pval","TICI_1","VEH_1","TICI_2","TICI_3","VEH_3","TICI_4","VEH_4","TICI_5","VEH_5","log2FoldChange","padj","significance","Significance","pbs_tpm","tici_tpm","TICI_abundance","VEH_abundance","log10_pbs_tpm","log10_tici_tpm"
"21","Acly","P16638",-0.11697597503662,0.280621356153034,17.80373,17.89557,17.45322,17.61533,17.68346,17.61123,17.70826,17.88816,17.87795,0.139871426828059,0.352680626985336,"Neither","Neither (n = 1099)",320.501297666667,290.511369,17.674334,17.79131,2.50582979225837,2.46316313293065
"22","Acot4","Q6Q2Z6;Q9QYR7;Q32Q92;Q8BWN8",-0.0909978389739994,0.328997563780561,13.63662,13.60745,13.41693,13.68245,13.84284,13.60049,13.60952,13.77972,13.79715,-0.199394785779838,0.129473673408093,"Neither","Neither (n = 1099)",0.216341833333333,0.004352,13.623242,13.71424,-0.664859494295674,-2.36131111330988
"23","Acot6","Q6Q2Z6;Q9QYR7;Q32Q92;Q8BWN8",-0.0909978389739994,0.328997563780561,13.63662,13.60745,13.41693,13.68245,13.84284,13.60049,13.60952,13.77972,13.79715,-0.121249582082329,0.53013500884523,"Neither","Neither (n = 1099)",0.282150833333333,0.0193568333333333,13.623242,13.71424,-0.549518662701989,-1.71316568929756
"24","Acox3","Q63448",-0.016463041305542,0.926552016929334,12.56967,12.39572,12.37653,12.71399,12.69484,12.59975,12.64979,13.08597,13.00223,-0.339076601203876,0.228474929716097,"Neither","Neither (n = 1099)",14.9430496666667,9.5756,12.669182,12.685645,1.17443923993217,0.981165996063658
"25","Acp2","P20611",-0.157421445846557,0.328709641644114,15.83044,15.90654,15.28782,15.89453,15.87575,15.53558,15.63552,15.89041,15.9629,-0.000242128102022607,0.999450476234266,"Neither","Neither (n = 1099)",37.5873963333333,32.3365661666667,15.687756,15.8451775,1.57504224331879,1.50969390010822
"26","Acss2","Q9QXG4",-0.0749806404113773,0.660451839375632,16.02003,16.36182,15.59779,15.98094,15.71746,15.72704,15.70106,15.93441,15.92775,-0.238745415808751,0.0705318256770656,"Neither","Neither (n = 1099)",309.637940166667,214.335968333333,15.852042,15.9270225,2.49085416969659,2.33109505735973
"27","Acta2","P68136;P68035;P63269;P62738",0.0459432601928711,0.709788845191547,19.06739,18.82789,18.90798,18.71786,18.88184,19.00001,18.90704,19.25139,19.15516,-0.134591138574052,0.486638400876761,"Neither","Neither (n = 1099)",0.259558666666667,0.0272155,18.988926,18.9429825,-0.585764465445617,-1.56518368246591
"28","Actg1","P63259;P60711",-0.00893106460571147,0.939519799652723,22.82968,22.71517,22.43685,22.52198,22.65001,22.55576,22.49326,22.88735,22.76258,0.11626510421052,0.407835373978928,"Neither","Neither (n = 1099)",1422.0031615,1242.3659435,22.646324,22.655255,3.15290056194964,3.094249537736
"29","Actl6a","Q9Z2N8",-0.126618051528931,0.227856515981175,15.36523,15.53682,15.11979,15.38316,15.41831,15.21531,15.28933,15.52427,15.54822,0.293204026649361,0.178217086034236,"Neither","Neither (n = 1099)",40.0994076666667,39.4736188333333,15.321552,15.44817,1.6031379574332,1.5963069431501
"30","Actr1a","P85515",-0.08385524749756,0.407221853400478,17.81127,17.92045,17.73463,17.9237,17.97034,17.84261,17.88089,18.15319,18.13606,0.247869047500717,0.0981375242069009,"Neither","Neither (n = 1099)",145.206387,142.951012333333,17.89308,17.976935,2.16198571951732,2.15518723523947
"31","Actr1b","Q8R5C5",-0.10365014076233,0.372457969984473,12.86523,13.15289,12.67963,13.07051,12.90437,13.02842,12.91706,13.05721,13.20108,0.074647603418934,0.73279316417107,"Neither","Neither (n = 1099)",116.0459185,97.2973063333333,12.9402,13.04385,2.06462987030594,1.98810081703338
"32","Acyp2","P35745",-0.045693111419677,0.604926348081792,14.28475,14.33804,14.20312,14.40241,14.40826,14.42679,14.33818,14.54339,14.58666,-0.0915863153050802,0.822329240169065,"Neither","Neither (n = 1099)",43.6021176666667,29.1333136666667,14.372092,14.417785,1.63950758258541,1.46438988474102
"33","Add1","Q63028",0.0349290847778327,0.86403354044065,16.87123,16.7436,17.23995,17.0814,17.28645,17.39674,17.22062,17.55105,17.52191,0.176357500932257,0.270997906864454,"Neither","Neither (n = 1099)",145.9355965,140.722724,17.228074,17.193145,2.16416123759567,2.14836423326236
"34","Add3","Q62847",-0.0646570682525631,0.569648317423051,15.48997,15.5827,15.4329,15.67447,15.67915,15.64698,15.58956,15.86938,15.89818,-0.06169618098014,0.771260328479711,"Neither","Neither (n = 1099)",51.524876,42.2271913333333,15.62274,15.6873975,1.71201695527744,1.62559219605905
"35","Adprh","Q02589",-0.0944993972778327,0.536783131679548,17.9611,18.04575,17.33202,17.79163,17.76875,17.63708,17.61144,17.8309,17.79424,-0.0679997587450396,0.777795190870751,"Neither","Neither (n = 1099)",67.9020383333333,55.8693268333333,17.710546,17.805045,1.83188281144739,1.74717343859965
"36","Agps","Q9EQR2",-0.0864279747009284,0.368782753989906,13.45276,13.41996,13.25492,13.41561,13.59596,13.42522,13.39326,13.62605,13.67618,-0.0889028676125953,0.81011298508729,"Neither","Neither (n = 1099)",18.9443956666667,16.5611456666667,13.434912,13.52134,1.27748075567498,1.21909037710472
"37","Ahcy","P10760",-0.153067779541015,0.158287014644479,18.07723,18.16133,17.68729,18.01274,18.17607,17.95487,18.0165,18.15803,18.1705,-0.0249239545174065,0.93526466819525,"Neither","Neither (n = 1099)",51.521083,43.7140211666667,17.978032,18.1311,1.71198498354392,1.64062075822081
"38","Ahsa1","Q8BK64",0.143757677078247,0.21136170536497,15.99526,15.94841,15.88374,15.96463,15.7931,15.88439,15.66636,16.26358,16.01038,0.325643371052894,0.0540326733209157,"Neither","Neither (n = 1099)",123.738956,131.164750833333,15.99832,15.8545625,2.09250644750626,2.11781713858085
"39","Aif1","P55009",-0.196640157699585,0.812731678789091,17.8092,17.64604,14.48331,16.43887,15.92859,15.1775,15.30325,15.60762,15.52188,0.0449406909746412,0.940521096710763,"Neither","Neither (n = 1099)",1.449353,1.63655366666667,15.9033,16.09994,0.161174173795005,0.213930251474174
"40","Aifm1","Q9JM53",0.12193021774292,0.255323165576205,14.99603,14.95665,14.71258,14.9866,14.826,14.89803,14.64397,15.13951,14.87186,0.14818938859387,0.510811574248449,"Neither","Neither (n = 1099)",47.4305388333333,47.6715046666667,14.94655,14.82462,1.67605805847043,1.67825885988
"41","Aip","Q5FWY5",-0.0529831409454342,0.753971107773588,14.39238,14.52888,13.87748,14.26033,14.08023,14.12444,13.99841,14.41838,14.46282,0.139000890185639,0.553346140045811,"Neither","Neither (n = 1099)",107.086560333333,99.8866008333333,14.214602,14.267585,2.02973496906414,1.99950723422767
"42","Ak2","P29410",-0.0205436706542983,0.849730691779406,17.20686,17.15995,16.83183,17.12606,17.15916,17.08015,16.98493,17.32887,17.23715,0.330855109202264,0.156182759259235,"Neither","Neither (n = 1099)",54.4952838333333,54.4969531666667,17.114754,17.1352975,1.73635891890444,1.73637222227861
"43","Akap12","Q5QD51",-0.0308066368103042,0.881990889857133,17.29634,17.23883,17.3279,17.40964,17.44718,17.4084,17.44742,18.0098,17.95146,0.312271107024148,0.192059896616377,"Neither","Neither (n = 1099)",10.6777775,12.1244331666667,17.490416,17.5212225,1.02848086693124,1.08366144390579
"44","Akr1b1","P07943",-0.0702382087707534,0.440698692263636,18.20199,18.29876,18.08072,18.04932,18.15125,18.22934,18.22586,18.41609,18.38705,0.0481119971401096,0.867527052920212,"Neither","Neither (n = 1099)",538.378608666667,517.857939666667,18.195492,18.26573,2.73108779578764,2.71421063912668
"45","Akr7a2","Q8CG45",-0.0886655807495131,0.366271290529012,16.77764,16.89333,16.64329,16.91345,16.93859,16.77597,16.77365,17.03187,17.06287,0.0606100121591918,0.805230510838257,"Neither","Neither (n = 1099)",175.334914166667,153.939875833333,16.828444,16.91711,2.24386840508483,2.18735113192516
"46","Alad","P06214",-0.233081674575805,0.109797654316166,13.20488,13.40554,13.05921,13.21014,13.56081,13.11249,13.24671,13.56986,13.64453,-0.129502536251192,0.634762804649254,"Neither","Neither (n = 1099)",64.9986435,52.301561,13.231316,13.4643975,1.81290429315652,1.71851465107701
"47","Aldh16a1","Q571I9",-0.155925464630126,0.488102858289485,13.2055,13.11105,12.1467,12.6877,12.687,12.55514,12.76905,12.84657,12.80989,-0.0497438661772369,0.897587955715202,"Neither","Neither (n = 1099)",20.9696506666667,17.9439343333333,12.688322,12.8442475,1.32159119561543,1.25391767125686
"48","Aldh16a1","Q3T1L0",-0.100021982192994,0.718706774643791,15.35101,15.30321,14.23354,14.87767,14.57187,14.37144,14.68573,14.81378,14.75723,-0.0497438661772369,0.897587955715202,"Neither","Neither (n = 1099)",20.9696506666667,17.9439343333333,14.729488,14.82951,1.32159119561543,1.25391767125686
"49","Aldh18a1","Q9Z110",-0.146472930908203,0.124186813537149,17.35466,17.51738,17.13531,17.38009,17.54495,17.38566,17.46619,17.59354,17.53678,-0.136437512500777,0.503981256140925,"Neither","Neither (n = 1099)",50.7384241666667,39.3536326666667,17.369852,17.516325,1.70533697478266,1.59498482752788
"50","Aldh7a1","Q64057",-0.0737198829650865,0.500052228368896,18.43131,18.52045,18.29621,18.65805,18.66841,18.57015,18.58292,18.78283,18.71394,0.0352178988793385,0.877839248828734,"Neither","Neither (n = 1099)",107.978022833333,93.171019,18.54771,18.62143,2.03333537091783,1.96928084534035
"51","Aldh9a1","Q9JLJ3",-0.0885824203491197,0.335466264468731,18.54367,18.60773,18.3602,18.61367,18.66268,18.57445,18.6286,18.79927,18.76833,0.112156398498783,0.50074556201846,"Neither","Neither (n = 1099)",180.637054666667,165.419608333333,18.578252,18.666835,2.25680684335612,2.21858698820461
"52","Aldoa","P05065",-0.0605381011962898,0.735447836344916,20.56263,20.66197,19.89451,20.2976,20.14544,20.08057,20.08809,20.33495,20.28286,-0.0136527354118126,0.966757568913043,"Neither","Neither (n = 1099)",1873.26934283333,1591.66023466667,20.234052,20.29459,3.27260022569155,3.20185036619209
"53","Alyref","O08583",-0.0917586326599107,0.319396588264903,16.08852,16.15837,15.84637,16.09554,16.20346,16.02527,16.0377,16.26942,16.2276,0.333554179791249,0.0663609717311311,"Neither","Neither (n = 1099)",131.221739,143.924374666667,16.065024,16.1567825,2.11800578889377,2.15813435117629
"54","Anapc2","Q8BZQ7",-0.194000911712646,0.253847118129887,12.66769,12.79053,12.7252,12.71761,12.88907,12.72545,13.09782,13.25442,13.27088,0.0249263334095391,0.904530658471693,"Neither","Neither (n = 1099)",105.776653833333,94.799409,12.818074,13.012075,2.02438982431367,1.97680562986086
"55","Ank3","O70511",-0.184877586364745,0.178444332000981,14.75134,14.8978,14.38694,14.7658,14.96104,14.75577,14.73693,14.98175,15.05702,0.385139007691673,0.521804459186791,"Neither","Neither (n = 1099)",0.2226,0.255024833333333,14.72832,14.9131975,-0.652474840001311,-0.593417527587547
"56","Ankrd17","Q99NH0",-0.103079891204834,0.501038291021131,15.36936,15.37667,15.32281,15.34138,15.59371,15.53208,15.52059,15.86092,15.86259,-0.12382610599636,0.568661936858351,"Neither","Neither (n = 1099)",10.2323106666667,8.21269566666667,15.48531,15.58839,1.00997371743335,0.914485729714423
"57","Antxr2","Q6DFX2;O88561",-0.193306684494019,0.652113655313712,12.40846,13.11366,11.76412,12.46046,12.39487,11.81149,12.10375,13.53795,12.74693,0.107314426305217,0.62446954942481,"Neither","Neither (n = 1099)",87.6569643333333,82.4683366666667,12.396496,12.5898025,1.94278642643532,1.91628723521097
"58","Anxa6","P48037",-0.128477096557617,0.390953878301454,20.03456,20.06802,19.52856,19.78552,19.9583,19.76764,19.76174,20.13521,20.12704,-0.234543260496783,0.144983772693465,"Neither","Neither (n = 1099)",278.103447333333,196.612429833333,19.850298,19.978775,2.44420637235414,2.29361097045129
"59","Ap1b1","P52303",-0.0921629905700669,0.518770548870776,17.11858,17.18727,16.58608,17.02128,16.97017,16.80448,16.78059,17.05515,17.09908,0.22207799365682,0.268375539102067,"Neither","Neither (n = 1099)",44.618429,43.167507,16.917114,17.0092775,1.64951427485319,1.63515696810481
"60","Ap1g1","P22892",-0.0182455062866218,0.835940408205785,15.44369,15.54463,15.25989,15.45192,15.3728,15.31281,15.25093,15.5536,15.52215,-0.101949982167248,0.712252249611851,"Neither","Neither (n = 1099)",15.6973815,13.8799696666667,15.404382,15.4226275,1.1958272132408,1.14238851701122
"61","Ap1m1","Q32Q06",-0.0736310958862312,0.408624180454515,14.54521,14.58414,14.27081,14.51527,14.65648,14.4739,14.43019,14.66128,14.59689,0.181995007438298,0.317647856404254,"Neither","Neither (n = 1099)",176.6802885,173.690236666667,14.493294,14.566925,2.24718809974334,2.23977540692746
"62","Ap2a1","P17426",-0.0538683891296401,0.64651158331694,17.27093,17.40166,16.94786,17.39749,17.28084,17.084,17.11908,17.39188,17.28762,0.173353547748878,0.345614684418949,"Neither","Neither (n = 1099)",62.051431,60.1649723333333,17.218432,17.2723,1.7927518014389,1.77934372132847
"63","Ap2a2","P18484",-0.081596851348877,0.460845460857382,18.05457,18.14689,17.78296,18.07012,18.1058,17.91876,17.90395,18.23412,18.21817,-0.136566801270852,0.413341859667088,"Neither","Neither (n = 1099)",71.4195823333333,54.8377816666667,18.012106,18.0937025,1.85381730607996,1.73907987811216
"64","Ap2m1","P84092",-0.112420749664306,0.295723660535312,17.66178,17.73052,17.35612,17.70151,17.78603,17.53609,17.56674,17.80146,17.81196,0.124572910461658,0.382483039938429,"Neither","Neither (n = 1099)",681.966711333333,639.612058333333,17.611392,17.7238125,2.83376317606838,2.80591664272001
"65","Ap2m1","P84091",-0.112420749664306,0.295723660535312,17.66178,17.73052,17.35612,17.70151,17.78603,17.53609,17.56674,17.80146,17.81196,0.124572910461658,0.382483039938429,"Neither","Neither (n = 1099)",681.966711333333,639.612058333333,17.611392,17.7238125,2.83376317606838,2.80591664272001
"66","Ap3b1","Q9Z1T1",0.841601657867432,0.0981192505592418,13.33308,11.0678,12.43704,12.86988,11.93201,12.68744,12.64755,11.63755,11.35821,0.256051422966076,0.258521569852788,"Neither","Neither (n = 1099)",16.3693725,17.7326611666667,12.592998,11.7513925,1.21403203157989,1.24877391570658
"67","Ap3d1","O54774",-0.0558339118957534,0.583407543540675,16.3414,16.22891,16.03049,16.27272,16.3531,16.24243,16.21512,16.44984,16.49571,-0.0315279010475172,0.893240670552324,"Neither","Neither (n = 1099)",70.991333,60.1612326666667,16.267376,16.32321,1.85120533097215,1.77931672610165
"68","Apeh","P13676",-0.0890565872192397,0.312719536624084,17.02486,17.14131,16.78123,17.00843,17.06949,16.94684,16.92984,17.15363,17.14758,0.228549286088127,0.369235509713797,"Neither","Neither (n = 1099)",29.1584978333333,31.5397725,16.982998,17.072055,1.46476514654928,1.49885855638822
"69","Apex1","P43138",-0.148495769500734,0.28185547362075,16.61036,16.58775,16.53527,16.6665,17.00701,16.8359,16.88453,16.98304,17.01955,-0.0600966319800795,0.77683303191209,"Neither","Neither (n = 1099)",208.852650166667,170.638722,16.726214,16.87471,2.31983999047237,2.23207758980174
"70","Apip","Q9WVQ5",-0.16059775352478,0.280870363671186,11.66662,11.76885,11.76818,11.44889,11.64863,11.75355,11.95143,11.97276,12.16148,0.481959425948769,0.112641254717684,"Neither","Neither (n = 1099)",14.3291813333333,17.463902,11.722,11.8825975,1.15622137863376,1.24214128563176
"71","Appl1","Q8K3H0",-0.0215174198150638,0.846575484236389,12.06804,12.45245,12.23347,12.36875,12.21353,12.28468,12.264,12.58231,12.38589,-0.190439110635854,0.435219742566173,"Neither","Neither (n = 1099)",29.4691153333333,24.9752823333333,12.30745,12.3289675,1.46936709846891,1.39751040641216
"72","Aprt","P36972",-0.134166717529297,0.393216508998392,18.71807,19.01612,18.27326,18.55345,18.57585,18.42841,18.41146,18.70553,18.67621,0.164757396458884,0.383819478396629,"Neither","Neither (n = 1099)",446.124919833333,444.5428775,18.535744,18.66991,2.64945648292293,2.64791365633789
"73","Aqp4","P47863",-0.108408975601197,0.589673990143963,15.75254,15.99921,15.12763,15.97873,15.67488,15.44048,15.4625,15.7052,15.70071,0.258918354502204,0.131426595414158,"Neither","Neither (n = 1099)",102.1202365,105.223876,15.600916,15.709325,2.00911181191488,2.02211429531714
"74","Arcn1","Q66H80",-0.0199575424194336,0.841891925268514,18.24358,18.28852,18.02421,18.21888,18.19643,18.10098,18.09723,18.46164,18.33708,0.128283785317528,0.417215551116417,"Neither","Neither (n = 1099)",118.397191166667,113.828834833333,18.209858,18.229815,2.07334139938617,2.05625229037844
"75","Arf1","P84079",-0.0490010261535652,0.815762966015466,13.44979,13.46633,12.85253,13.84323,13.35618,13.21221,13.21265,13.49586,13.64374,0.186039001739061,0.177568188224938,"Neither","Neither (n = 1099)",494.5451105,496.486841166667,13.370724,13.419725,2.6942059124098,2.69590774249014
"76","Arf2","P84082",-0.158869457244872,0.252970804074483,13.20345,13.33692,13.16055,13.50953,13.65184,13.4264,13.43176,13.60386,13.73799,-0.338298966626237,0.10565834303453,"Neither","Neither (n = 1099)",47.8601263333333,34.4741715,13.380758,13.5396275,1.67997384065847,1.5374938377978
"77","Arf5","P84083",0.0631863594055169,0.620408446237029,16.29821,16.20734,16.58539,16.40448,16.59797,16.56617,16.38056,16.73132,16.62984,0.103931118495943,0.591146076126833,"Neither","Neither (n = 1099)",346.240089,305.55202,16.517114,16.4539275,2.53937735072459,2.4850851591799
"78","Arfgap2","Q3MID3",-0.0952288627624505,0.44480333156469,13.90633,13.97334,13.41812,13.7401,13.74546,13.60976,13.66944,13.88102,13.83694,-0.202521944635082,0.277541613435176,"Neither","Neither (n = 1099)",62.0191606666667,47.1818591666667,13.711066,13.806295,1.79252588443756,1.6737750499433
"79","Arfgef1","D4A631",0.0148864746093746,0.938756257319972,12.21341,12.26092,11.58548,12.33581,11.97603,11.72157,11.87229,12.07905,11.77947,-0.120661252547565,0.651611605929291,"Neither","Neither (n = 1099)",8.609894,8.482259,11.987064,11.9721775,0.934997804705866,0.928511529212291
"80","Arfip1","Q9JHU5",0.099308347702026,0.289589636729735,14.22476,13.98629,14.16836,14.14633,14.13394,14.32481,14.1899,14.43202,14.32966,-0.279396365835285,0.101752935577979,"Neither","Neither (n = 1099)",40.1908561666667,30.0293006666667,14.259256,14.1599475,1.60412725785908,1.47754521830807
"81","Arhgdib","Q61599",-0.218254423141479,0.715370232132566,16.17662,16.3951,14.09358,14.55513,14.73968,14.57961,14.33672,14.6127,14.61563,0.240120046773907,0.642145043086888,"Neither","Neither (n = 1099)",0.318425166666667,1.43524633333333,14.803528,15.0217825,-0.496992615204046,0.156926446035992
"82","Arhgef7","O55043",-0.00264267921447825,0.985368920539212,13.88874,13.54629,13.74347,13.91504,14.07213,14.01759,14.01524,14.13226,14.13459,-0.145683060303439,0.583082754387117,"Neither","Neither (n = 1099)",29.8776555,23.0725763333333,13.93942,13.9420625,1.47534651538697,1.36309609148161
"83","Arl1","P61212",-0.00536127090454031,0.96397315331856,13.33427,13.36441,13.14838,13.30492,13.46595,13.55543,13.3559,13.70293,13.47193,0.131931625553094,0.495939333977113,"Neither","Neither (n = 1099)",94.91703,92.4417475,13.409186,13.4145475,1.97734414047249,1.96586814669926
"84","Arl2","O08697",-0.159622192382813,0.364217800143668,15.73632,15.98233,15.22788,15.85735,15.72742,15.35011,15.60531,15.84578,15.73738,-0.146280725852029,0.575179105993009,"Neither","Neither (n = 1099)",169.407083333333,137.617483166667,15.603488,15.76311,2.22893156531149,2.1386736109379
"85","Arl3","P37996",-0.0615056037902839,0.472147997907787,15.56057,15.61393,15.36772,15.58584,15.55836,15.46818,15.51456,15.7346,15.7327,0.0394345443700739,0.891990890175003,"Neither","Neither (n = 1099)",123.564633833333,112.387850333333,15.543382,15.6048875,2.0918941865387,2.05071936445022
"86","Arl6ip5","Q9ES40",-0.00413761138916158,0.966566387330145,16.77995,16.80108,16.90301,16.81728,16.87231,16.97231,16.87927,17.12323,17.14051,-0.0414386598242083,0.850812570083179,"Neither","Neither (n = 1099)",355.409456666667,288.250913833333,16.919156,16.9232925,2.55072897924731,2.45977069279985
"87","Arl6ip5","Q8R5J9",-0.00161142349243093,0.988540808332484,15.90818,16.02978,15.60635,15.93242,15.71242,15.68956,15.62842,15.89952,15.86465,-0.0414386598242083,0.850812570083179,"Neither","Neither (n = 1099)",355.409456666667,288.250913833333,15.807206,15.8088175,2.55072897924731,2.45977069279985
"88","Arl8b","Q66HA6",-0.110177326202393,0.332616992282377,17.25193,17.35225,17.13049,17.44879,17.60719,17.3902,17.3641,17.58189,17.55981,0.0432654872504914,0.849604271295974,"Neither","Neither (n = 1099)",260.9631135,254.905286833333,17.36066,17.4708375,2.41657912520985,2.40637884299666
"89","Arpc1a","Q99PD4",-0.0958736896514889,0.547696852783831,15.46748,15.56748,15.0623,15.74244,15.67488,15.28482,15.28681,15.57483,15.55982,-0.144971232811251,0.399316083032209,"Neither","Neither (n = 1099)",224.473908166667,175.020449833333,15.426374,15.5222475,2.35116586784367,2.24308879572
"90","Arpc4","P59999",0.0584626674652107,0.656880309086769,16.09729,16.01382,15.66436,15.78141,15.72406,15.67758,15.63804,16.04885,15.80582,0.100433873715759,0.566849738464117,"Neither","Neither (n = 1099)",313.722036166667,286.695316166667,15.853898,15.795435,2.49654502507157,2.4574205977962
