"","gene_names","protein","log2FC","pval","TICI_1","VEH_1","TICI_2","TICI_3","VEH_3","TICI_4","VEH_4","TICI_5","VEH_5","log2FoldChange","padj","significance","Significance","pbs_tpm","tici_tpm","TICI_abundance","VEH_abundance","log10_pbs_tpm","log10_tici_tpm"
"640","Prkra","Q4V8C7",-0.071247482299805,0.533737958328208,14.61528,14.62879,14.66078,14.70277,14.85779,14.63968,14.66994,14.98384,15.01035,-0.418797058807664,0.0314820475678171,"RNA only","RNA only (n = 966)",67.1298123333333,44.3457226666667,14.72047,14.7917175,1.82691543308226,1.64685173664015
"641","Prmt1","Q63009",-0.170074748992921,0.425503714534483,15.48693,15.88627,14.87791,15.50131,15.26843,15.03011,15.17613,15.39914,15.38579,0.397577076412058,0.00200899707678565,"RNA only","RNA only (n = 966)",419.916298333333,448.8523575,15.25908,15.429155,2.62316273136303,2.65210351056336
"642","Prpf6","A1A5S1",-0.122583436965943,0.37646900643717,13.90172,13.95665,13.50891,13.97441,14.10607,14.04029,13.94361,14.13579,14.1329,0.358074205970774,0.0242868368285867,"RNA only","RNA only (n = 966)",61.5312846666667,67.6681621666667,13.912224,14.0348075,1.78909598249938,1.83038438142341
"643","Prrc1","Q3T1I4",0.0962325572967533,0.348775373023486,15.98817,15.88622,15.74236,15.97392,15.81205,15.83333,15.72395,16.17867,15.96601,0.556092853587933,0.0101301230478055,"RNA only","RNA only (n = 966)",21.8849843333333,27.9863075,15.94329,15.8470575,1.34014624005357,1.44694560164012
"644","Prrc1","Q3UPH1",0.0962325572967533,0.348775373023486,15.98817,15.88622,15.74236,15.97392,15.81205,15.83333,15.72395,16.17867,15.96601,0.556092853587933,0.0101301230478055,"RNA only","RNA only (n = 966)",21.8849843333333,27.9863075,15.94329,15.8470575,1.34014624005357,1.44694560164012
"645","Psat1","Q99K85",0.00131149291992116,0.995368771877295,16.83812,16.72067,17.02226,17.53564,17.57821,17.13521,17.1314,17.44734,17.34733,0.437742689869097,0.00641914162750825,"RNA only","RNA only (n = 966)",83.7364318333333,95.7262676666667,17.195714,17.1944025,1.92291445084576,1.98103112625496
"646","Psen2","O88777;P97887",0.00326218605041539,0.975015337037762,13.26074,13.45597,13.27159,13.72089,13.44501,13.38627,13.34734,13.51902,13.46544,0.736795919179959,0.0303223842658381,"RNA only","RNA only (n = 966)",16.7799436666667,27.8128658333333,13.431702,13.42844,1.22479049848929,1.44424574080512
"647","Psma1","P18420",-0.0114645957946777,0.908444726936256,18.29275,18.24126,17.92804,18.21585,18.24451,18.17089,18.05822,18.37156,18.28514,0.619583431209315,2.55996960391208e-06,"RNA only","RNA only (n = 966)",87.7780816666667,118.229894166667,18.195818,18.2072825,1.94338608538701,2.07272730082731
"648","Psma2","P17220",-0.0403964042663567,0.758980165674973,17.14221,17.20839,16.70158,17.14241,17.08254,16.89,16.84512,17.19883,17.08556,0.684355880246512,6.43063207740923e-05,"RNA only","RNA only (n = 966)",31.218917,42.954241,17.015006,17.0554025,1.49441783309277,1.63300604947039
"649","Psma4","P21670",0.00683612823486257,0.949571257355827,17.79671,17.7345,17.73866,17.90236,17.95146,17.86502,17.84635,18.18558,18.03101,0.675129811783131,4.11287885190042e-06,"RNA only","RNA only (n = 966)",152.650413833333,225.259724,17.897666,17.89083,2.1836979860031,2.35268354765727
"650","Psma5","P34064",-0.0339866638183608,0.848039573331016,16.47028,16.54572,15.84397,16.44317,16.14861,16.0582,16.0451,16.38593,16.35776,0.984507626130817,8.73968167787288e-13,"RNA only","RNA only (n = 966)",233.410194833333,399.473164833333,16.24031,16.2742975,2.36811982113166,2.6014876102927
